snumber,regine,main,region,altitude,lon,lat,Ttrend_deg/yr
1600194,16,194,ost,491.0,8.7857909192,59.3490717296,
200279,2,279,ost,445.0,11.080103717,60.13344570100001,0.05683151433490537
200142,2,142,ost,411.0,12.0471248084,60.641170209799995,
200616,2,616,ost,376.0,11.7330801085,60.3555376309,
800002,8,2,ost,341.0,10.5083865143,59.8933940706,
600010,6,10,ost,300.0,10.800567759200002,59.9872112959,0.04233540000716045
1200193,12,193,ost,277.0,9.78916007231,59.6975418061,
800006,8,6,ost,240.0,10.5664510718,59.942938658900005,
200633,2,633,ost,178.0,11.517756048199999,59.3595195293,
300022,3,22,ost,153.0,10.856104278599998,59.5516102527,0.04896698854704668
2600026,26,26,sor,1002.0,6.93801450278,58.9574423772,
1900104,19,104,sor,777.0,7.98510243401,59.29985500390001,
2200020,22,20,sor,767.0,7.4269457889999995,58.4981221228,
2000002,20,2,sor,763.0,8.10052523255,58.8396329494,
1900073,19,73,sor,667.0,8.29921269373,59.00203798729999,
1900079,19,79,sor,659.0,8.036406392939998,59.234845846000006,
1900096,19,96,sor,610.0,8.65362135008,59.05231629399999,
2400009,24,9,sor,588.0,7.223347914,58.4011394637,
2200004,22,4,sor,560.0,7.527672218139999,58.1202369475,
2700025,27,25,sor,527.0,6.066195178080001,58.5734023377,
2700024,27,24,sor,489.0,6.15028777231,58.533599073599994,
2600020,26,20,sor,478.0,6.497834356830001,58.5435666775,
2600021,26,21,sor,470.0,6.77277922635,58.4897821907,
2200016,22,16,sor,447.0,7.584351336010001,58.445609965100005,
1900082,19,82,sor,396.0,8.50817698637,58.968513513199994,
1800011,18,11,sor,377.0,8.85937722105,58.932083280600004,
2000003,20,3,sor,354.0,8.20306070728,58.330464422700004,
2400008,24,8,sor,325.0,7.066228958610001,58.1605648946,
1800010,18,10,sor,313.0,9.03327195401,58.8836052993,
2600029,26,29,sor,297.0,6.34451864319,58.3508868761,
1900080,19,80,sor,263.0,8.515726110389998,58.749890711099994,
2000011,20,11,sor,219.0,8.24237216963,58.3854119511,0.024737442922374786
2200022,22,22,sor,198.0,7.83510849133,58.0909799337,0.028813183060108938
2800007,28,7,sor,178.0,5.646998685850001,58.6927500209,0.036834474885844716
