SNUMBER	STNAME	AREAL_NOR	AREAL_UTM3	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	JORDBRUKPR	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO
008400052000	Trollavatnet	8.920	8.920	0.00	0.00	0.00	987	988	1012	1072	1178	1263	1298	1322	1365	1417	1568	4.13	2700.00	0.00	0.00	0.00	0.00	0.00	38.90	11.21	48.99	0.00
003000011000	Vassleia	12.000	12.000	0.00	0.00	0.00	0	812	817	831	855	867	884	901	928	976	1054	5.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	0.00
003000012000	Store Hogganvatn	7.110	7.110	0.00	0.00	0.00	0	837	861	894	931	959	984	1008	1035	1069	1123	3.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.39	0.00
002500015000	Kvi bru	404.910	404.910	76.19	0.00	69.84	814	909	932	964	1001	1030	1061	1098	1147	1220	1430	30.41	0.32	0.00	0.49	0.00	7.84	0.00	0.00	19.26	79.77	0.00
012300113000		0.008	0.008	0.00	0.00	0.00	117	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.10
001900097000	Storgama ndf.	1.090	1.090	39.38	0.00	-12.66	532	556	581	592	601	607	613	619	631	648	685	1.72	0.24	0.00	0.00	0.00	1.09	0.00	0.00	0.00	0.00	0.00
002100056000	Storvatn, Blåsjø	120.430	120.430	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
008400059000	Helgheim/Huus	7.970	7.970	105.39	0.00	116.41	469	600	650	698	762	811	867	933	988	1063	1300	4.43	3.96	0.00	0.00	0.00	0.03	0.00	0.00	0.00	75.28	0.00
008400058000	Stegsvatn	10.450	10.450	90.06	0.00	74.47	759	794	829	878	952	1049	1118	1169	1242	1339	1525	3.83	4.92	0.00	0.00	0.00	7.85	0.00	0.00	9.57	86.12	0.00
007900025000	Randtangen	128.930	128.930	68.55	0.00	80.01	107	714	804	873	933	987	1043	1095	1157	1233	1453	15.53	13.99	0.00	0.00	0.00	1.24	2.33	0.00	8.53	86.87	0.00
015900042000	Smibelgvatn	4.420	4.420	83.92	0.00	77.09	484	506	0	566	632	671	691	712	742	834	1155	2.40	2.69	0.00	0.00	0.00	20.46	0.00	0.00	0.00	67.87	0.00
040000001000	Bayelva	31.117	31.117	0.00	0.00	0.00	25	41	100	155	201	260	317	370	427	498	750	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000002000	Isdammen	35.861	35.861	0.00	0.00	0.00	25	26	106	223	350	445	504	572	621	745	1000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000004000	Londonelva	0.607	0.607	0.00	0.00	0.00	51	100	0	120	150	176	229	290	306	329	350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000005000	De Geerdalen	77.683	77.683	0.00	0.00	0.00	25	142	210	282	350	409	463	534	621	721	950	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000006000	Steintippdalen	3.713	3.713	0.00	0.00	0.00	50	237	333	397	400	408	437	453	480	526	600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000007000	Endalselva	30.366	30.366	0.00	0.00	0.00	25	100	219	343	432	490	551	599	647	770	1000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000009000	Diesetelva	58.359	58.359	0.00	0.00	0.00	25	26	0	32	51	100	178	256	332	401	847	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
040000010000	Tvillingvatnet utløp	0.905	0.905	0.00	0.00	0.00	49	50	0	0	64	84	109	149	228	330	500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
000200085000	Einunda	573.220	573.220	4.32	16.85	8.54	717	949	1021	1062	1102	1142	1184	1230	1289	1364	1689	44.55	64.27	0.28	10.97	0.00	0.90	5.74	0.00	3.46	70.93	0.00
000200584000	Brandval Bru	18521.083	18942.960	1.58	12.58	1.71	147	305	429	550	672	749	822	897	985	1117	2170	288.11	419.06	2.97	10.22	0.00	0.07	55.62	0.00	2.74	21.92	0.15
008600012000	Skjerdalselv	23.760	23.760	87.53	52.84	95.84	291	418	622	783	917	1045	1118	1171	1228	1328	1465	6.85	5.87	0.00	0.29	0.00	0.98	14.65	20.54	3.45	56.06	0.00
