,snumber,regine,main,name,stnr,start.yr,end.yr,missing.yr,areal,altitude,utm.e,runoff.region,lon,lat
167,15100021,151,21,Joibakken,151.21,1972,2012,1,2623.11,713.0,428582.0,nordland,13.4547666477,65.5290691933
168,15100028,151,28,Laksfors,151.28,1960,2012,0,3653.4,660.0,421282.0,nordland,13.2907325225,65.6215448807
169,15200004,152,4,Fustvatn,152.4,1960,2012,0,525.69,436.0,422912.0,nordland,13.3076484748,65.9050580957
170,15300001,153,1,Storvatn,153.1,1960,2012,0,48.0,516.0,414870.0,nordland,13.1171930224,66.0937621928
171,15600008,156,8,Svartisdal,156.8,1960,2012,0,121.98,902.0,465482.0,nordland,14.224826589300001,66.4808882322
172,15600010,156,10,Berget,156.1,1960,2012,0,210.63,804.0,450012.0,nordland,13.878476031300002,66.4567164074
173,15600013,156,13,BjOrnfoss,156.13,1960,2012,0,306.1,924.0,469532.0,nordland,14.316014331600002,66.4723690112
174,15600015,156,15,Forsbakk,156.15,1963,2012,1,56.04,445.0,446652.0,nordland,13.8108700697,66.2930072954
175,15600017,156,17,Virvatn,156.17,1966,2012,2,79.06,833.0,516192.0,nordland,15.361118236,66.3079011833
176,15600024,156,24,Bogvatn,156.24,1970,2012,1,36.21,985.0,477632.0,nordland,14.4946159932,66.6324394546
177,15600027,156,27,Leiraaga,156.27,1974,2012,0,44.09,494.0,449012.0,nordland,13.8567636795,66.440857567
178,15700003,157,3,Vassvatn,157.3,1960,2012,0,16.33,471.0,418712.0,nordland,13.1807689302,66.3926258746
179,15900003,159,3,Engabrevatn,159.3,1969,2012,5,53.33,1168.0,445532.0,nordland,13.766186485799999,66.694803945
180,15900005,159,5,StrOmdalen,159.5,1976,2012,5,22.44,416.0,429932.0,nordland,13.4170406088,66.62797186899999
181,16100007,161,7,Tollaaga,161.7,1972,2012,2,225.05,795.0,493632.0,nordland,14.8545684876,66.8969240995
182,16200003,162,3,Skarsvatn,162.3,1960,2012,0,145.39,520.0,499241.0,nordland,14.982532615799999,67.0837367551
183,16300005,163,5,Junkerdalselv,163.5,1960,2012,0,421.98,834.0,518043.0,nordland,15.410687646900001,66.81479810229999
184,16300006,163,6,Jordbrufjell,163.6,1960,2012,1,69.91,664.0,506407.0,nordland,15.1465539059,66.9356041186
185,16300007,163,7,Kjemaavatn,163.7,1969,2012,1,36.48,935.0,517992.0,nordland,15.4087676249,66.769168421
186,16600001,166,1,Lakshola,166.1,1960,2012,0,230.79,500.0,532582.0,nordland,15.761407283699999,67.4513525157
187,16600013,166,13,Vallvatn,166.13,1960,2012,2,53.04,97.0,523039.0,nordland,15.5359783098,67.3440848394
188,16700003,167,3,kobbvatn,167.3,1960,2012,0,387.14,680.0,542026.0,nordland,15.989289248099999,67.6238643486
189,16800003,168,3,Laksaa bru,168.3,1960,2012,0,26.67,217.0,512486.0,nordland,15.2960780725,67.7966344483
190,17200005,172,5,Melkedal (Litlevatn),172.5,1960,2012,0,92.15,412.0,570950.0,nordland,16.716241052,68.2547123766
191,17200007,172,7,Leirpoldvatn,172.7,1970,2012,1,18.84,216.0,558993.0,nordland,16.4287385708,68.2831776422
192,17200008,172,8,Rauvatn,172.8,1977,2012,1,21.17,632.0,578022.0,nordland,16.8833287739,68.20586063569999
193,17700004,177,4,Sneisvatn,177.4,1960,2012,0,29.25,302.0,528971.0,nordland,15.7054432428,68.4074830925
194,17800001,178,1,Langvatn,178.1,1960,2012,0,18.41,356.0,529132.0,nordland,15.7160409458,68.6189695629
195,18500001,185,1,Gaaslandsvatn,185.1,1960,2012,1,7.7,34.0,484953.0,nordland,14.6292726432,68.6728276175
196,18900003,189,3,Tennevikvatn,189.3,1978,2012,1,85.41,315.0,569986.0,nordland,16.722345646500003,68.6448954644
198,19600007,196,7,Ytre FiskelOsvatn,196.7,1960,2012,1,54.42,273.0,653315.84,finnmark,18.8820667741,69.2629743252
199,19600011,196,11,Lille Rostavatn,196.11,1960,2012,0,638.38,740.0,682880.44,finnmark,19.581081202,69.0229805343
200,19600012,196,12,Lundberg,196.12,1961,2012,3,246.53,868.0,643677.17,finnmark,18.5494147369,68.7223494475
201,19600035,196,35,Malangsfoss,196.35,1960,2012,0,3110.65,713.0,646006.34,finnmark,18.6583375244,69.0349282602
202,20500003,205,3,Skibotn bru,205.3,1970,2012,1,727.22,819.0,707196.97,finnmark,20.2737482309,69.365066645
204,20500008,205,8,Helligskogen,205.8,1982,2012,2,371.08,831.0,723594.8,finnmark,20.6570869168,69.2317264244
205,20600003,206,3,Manndalen bru,206.3,1971,2012,1,200.48,933.0,715473.77,finnmark,20.5256949546,69.5239453267
206,20800002,208,2,Oksfjordvatn,208.2,1960,2012,0,265.6,548.0,744171.21,finnmark,21.3763954222,69.9003319278
207,20800003,208,3,Svartfossberget,208.3,1981,2012,1,1932.29,673.0,748701.12,finnmark,21.3816610139,69.5285396848
208,20900004,209,4,Lillefossen,209.4,1961,2012,1,331.83,806.0,766270.33,finnmark,21.9176192942,69.78567169909999
209,21200010,212,10,Masi,212.1,1966,2012,1,5620.81,450.0,837785.41,finnmark,23.6350364177,69.4200409093
210,21200011,212,11,Kista,212.11,1971,2012,1,6181.8,449.0,826880.1,finnmark,23.5168051942,69.8263027441
211,21200049,212,49,Halsnes,212.49,1966,2012,5,144.89,531.0,802014.27,finnmark,22.941637087800004,70.0264364248
212,21300002,213,2,Leribotnvatn,213.2,1961,2012,1,135.47,457.0,823897.88,finnmark,23.5534396141,70.106674463
213,21300004,213,4,Kvalsund,213.4,1978,2012,1,124.8,355.0,832717.95,finnmark,23.9533116901,70.4868392422
214,22300001,223,1,Stabburselv,223.1,1960,2012,1,1067.33,441.0,872637.89,finnmark,24.8833008425,70.1763363236
216,22400001,224,1,Skoganvarre,224.1,1960,2012,2,942.31,345.0,886448.06,finnmark,25.085420092199996,69.8369901977
217,24400002,244,2,Neiden,244.2,1960,2012,5,2947.19,212.0,1050091.64,finnmark,29.321308144899998,69.7007173953
218,24600009,246,9,Sametielv,246.9,1962,2012,1,255.69,131.0,1073079.06,finnmark,29.717045206599998,69.40015441199999
220,30700005,307,5,MurusjO,307.5,1960,2012,0,345.62,528.0,452694.0,trondelag,14.0156504925,64.4866994975
221,30700007,307,7,Landbru,307.7,1960,2012,0,61.37,711.0,448692.0,trondelag,13.9165089785,64.8867905641
222,30800001,308,1,Lenglingen,308.1,1960,2012,0,449.98,625.0,439898.0,trondelag,13.7603059996,64.2448717133
223,31100004,311,4,Femundsenden (Femunden),311.4,1960,2012,0,1794.03,782.0,339350.0,ostlandet,11.940042970799999,61.91996114729999
224,31100006,311,6,Nybergsund,311.6,1960,2012,0,4424.85,781.0,356394.0,ostlandet,12.322495811,61.2590776466
225,31100460,311,460,Engeren,311.46,1960,2012,0,394.83,837.0,342155.66,ostlandet,12.0183481106,61.664878959700005
