snumber,regine,main,region,altitude,lon,lat,runoff,rainfall,snowmelt,evapotranspiration,precipitation
15300001,153,1,nord,516.0,13.1171930224,66.0937621928,,,-8.494687499999998,,
16600001,166,1,nord,500.0,15.761407283699999,67.4513525157,-16.865020236134878,,-3.161538461538461,16.59283712021264,
15700003,157,3,nord,471.0,13.1807689302,66.3926258746,,,-4.441428571428544,19.002310172058152,
15600015,156,15,nord,445.0,13.8108700697,66.2930072954,,,,,
15200004,152,4,nord,436.0,13.3076484748,65.9050580957,,12.120277777777789,-9.838012494354514,,
17200005,172,5,nord,412.0,16.716241052,68.2547123766,,,,,
17800001,178,1,nord,356.0,15.7160409458,68.6189695629,9.478541028213545,,,,
17700004,177,4,nord,302.0,15.7054432428,68.4074830925,,10.334285714285723,,,
16800003,168,3,nord,217.0,15.2960780725,67.7966344483,,,,,
16600013,166,13,nord,97.0,15.5359783098,67.3440848394,,,,,
15000001,150,1,nord,69.0,12.5676106158,65.9786273424,,,-3.8124999999999964,,
18500001,185,1,nord,34.0,14.6292726432,68.6728276175,,,-3.9482352941176475,-8.379180994386793,
19600012,196,12,finn,868.0,18.5494147369,68.7223494475,,5.160000000000012,,6.079147959509607,8.046551724137927
20900004,209,4,finn,806.0,21.9176192942,69.78567169909999,,,,,
19600011,196,11,finn,740.0,19.581081202,69.0229805343,,5.23854186643534,1.4608333333333263,,6.693723961671558
19600035,196,35,finn,713.0,18.6583375244,69.0349282602,,4.077500000000002,,5.064817327854148,4.751794871794876
20800002,208,2,finn,548.0,21.3763954222,69.9003319278,,5.619122197923779,,6.483982950540754,6.099214651310865
21300002,213,2,finn,457.0,23.5534396141,70.106674463,,,1.6994444444444463,5.116535211642658,3.984166666666667
22300001,223,1,finn,441.0,24.8833008425,70.1763363236,,,,2.472205750723768,3.261573959375829
22400001,224,1,finn,345.0,25.085420092199996,69.8369901977,,,,,
19600007,196,7,finn,273.0,18.8820667741,69.2629743252,,4.4162500000000025,,3.0706967553467415,4.873055555555551
24400002,244,2,finn,212.0,29.321308144899998,69.7007173953,,,,,
24600009,246,9,finn,131.0,29.717045206599998,69.40015441199999,,,,,
